time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
136;0.1920418;0.017612320000000015;0.07639760000000004;0.1919911428574064;-0.000574160646614937;0.013796359338221865;0.00001500968238146649;0.00003569308586627931;0.00002466631909196812;0.00005064
137;0.1932066;0.01794383999999999;0.07705680000000004;0.19318780276824485;-0.0006164689640189539;0.013924869822291614;0.00001502826245515969;0.0000357717202356223;0.00002473164971218285;0.00005064
138;0.1932066;0.01794383999999999;0.07705680000000004;0.19438612138316266;-0.0006601477489095397;0.014053716630261838;0.000015048388774827563;0.000035817977641152853;0.000024769407131263435;0.00005064
139;0.1947042;0.018109600000000003;0.07788080000000003;0.19529232703315555;-0.0007575407418146124;0.014133413679771362;0.000015059024756515911;0.00003581986161029434;0.000024784465707006167;0.00005064
140;0.1962018;0.018109600000000003;0.07854000000000003;0.19635401606425407;-0.0008326295973803486;0.01424058986123933;0.000015086471776706728;0.00003577066423877536;0.000024775266261163097;0.00005064
141;0.1973666;0.018606879999999992;0.07936400000000002;0.19750890798740217;-0.0008937054703427185;0.014365212155867092;0.000015107621357679139;0.00003566202832286028;0.000024741389663718944;0.00005064
142;0.198365;0.018772640000000007;0.08002320000000002;0.1986395725010859;-0.0009623012525634113;0.014487240079102279;0.000015140203794443673;0.000035498966648200305;0.000024681220592603093;0.00005064
143;0.19936340000000002;0.018938400000000022;0.08101200000000003;0.19973628636082402;-0.0010410794355556119;0.014604117772874467;0.000015165425796099356;0.00003527623775731763;0.000024588573730527682;0.00005064
144;0.20052820000000002;0.01910415999999998;0.08150640000000003;0.200829752955269;-0.0011229351040329884;0.014722958050168447;0.000015201963096732057;0.00003499616043716393;0.000024475593038698846;0.00005064
145;0.20219220000000002;0.01943568000000001;0.08216560000000003;0.20191821306077642;-0.0012072277468825464;0.014842916126042787;0.000015239044648251992;0.000034662472629121815;0.000024338682975075393;0.00005064
146;0.20302420000000002;0.019767199999999985;0.08298960000000002;0.20310558527026215;-0.0012679218762889834;0.014981248652429991;0.000015258462344974741;0.00003426833763053948;0.000024184187765216025;0.00005064
147;0.20435540000000002;0.01993296;0.08331920000000004;0.2042167527508752;-0.0013485836524943886;0.015109790618428615;0.000015308430204705698;0.00003383002657742527;0.000024010409326588004;0.00005064
148;0.20518740000000002;0.020098720000000014;0.08331920000000004;0.20538059436613443;-0.0014149935609939091;0.015248981092105268;0.000015338772798511078;0.00003335023322654591;0.000023824488714095987;0.00005064
149;0.2063522;0.02043023999999999;0.08430800000000002;0.2064383967746776;-0.0015093121696962601;0.015376383290358533;0.000015367221837597734;0.00003284101576109843;0.000023629831507454135;0.00005064
